figi,ticker,name,uid
BBG000BN56Q9,DSKY,Детский Мир,6e061639-6198-4448-9568-1eadb1b0e127
BBG000RMWQD4,ENPG,En+ Group,e2bd2eba-75de-4127-b39c-2f2dbe3866c3
BBG004PYF2N3,POLY,Polymetal,127361c2-32ec-448c-b3ec-602166f537ea
BBG000GQSVC2,NKNCP,Нижнекамскнефтехим - акции привилегированные,bc21fb4f-8838-4355-8697-fb0d8fc809c8
BBG000FWGSZ5,IRKT,Корпорация ИРКУТ,cfb50a23-2465-497e-bc7e-e4f0e042cf3d
BBG000PKWCQ7,MRKV,МРСК Волги,8ec4edb6-b779-4e3c-9146-b11210174d51
BBG004S68CV8,VSMO,ВСМПО-АВИСМА,e9139ddd-bf3c-4d03-a94f-ffdf7234c6be
BBG000Q7ZZY2,UNAC,Объединенная авиастроительная корпорация,43666aea-a4df-46e1-a815-e5eccbc1fb3f
BBG004S68C39,LSRG,Группа ЛСР,b2db7bb1-6f04-4c3c-b910-fb7fd8aab52d
BBG000RJL816,TTLK,Таттелеком,76721c1c-52a9-4b45-987e-d075f651f1b1
BBG000BBV4M5,CNTL,Центральный Телеграф,c05fd0a1-0c8e-4bc3-bf9e-43e364d278ef
BBG004RVFCY3,MGNT,Магнит,ca845f68-6c43-44bc-b584-330d2a1e5eb7
BBG004S68JR8,SVAV,СОЛЛЕРС,c3746fd5-ac02-419a-8893-827775cfb2c8
BBG001M2SC01,ETLN,Etalon Group PLC ГДР,a9b8460b-0272-49a6-b803-4c02d3e9c5d9
BBG004S685M3,RTKMP,Ростелеком - Привилегированные акции,e1b089f3-9bf1-44c3-897f-25e9f591bebc
BBG011MCM288,GEMC,United medical group,b186e19a-a331-471c-a18d-1ffbda758971
BBG0029SG1C1,KZOSP,ПАО «КАЗАНЬОРГСИНТЕЗ» - акции привилегированные,3879e073-f27a-4e2f-9a97-97475b25194d
TCS00A105EX7,WUSH,Whoosh,b993e814-9986-4434-ae88-b086066714a0
BBG000LNHHJ9,KMAZ,КАМАЗ,f8f1de0d-5a5f-47e9-8ecb-00bec8f8351f
BBG0029SFXB3,KZOS,ПАО «КАЗАНЬОРГСИНТЕЗ»,a6121478-943f-4eae-bc2a-bab5c771dd4a
BBG00ZHCX1X2,FIXP,Fix Price Group,ba64a3c7-dd1d-4f19-8758-94aac17d971b
BBG00178PGX3,VKCO,VK,3c0748ce-9b49-43e9-b788-048a6cb65174
BBG004S689R0,PHOR,ФосАгро,9978b56f-782a-4a80-a4b1-a48cbecfd194
TCS2207L1061,HHRU,HeadHunter Group PLC,cf9ed7ef-784d-4c2c-aabe-362891fcd80c
BBG000SK7JS5,LNZL,Лензолото,4563f7a1-8245-4caf-aba5-ac49827ba775
BBG000PZ0833,MGTSP,МГТС - акции привилегированные,3112d684-216c-4409-ab73-4316e8582f81
BBG000F6YPH8,ELFV,ЭЛ5-Энерго,93e0d4c6-45c9-4399-9e0b-dc2f2ff101c7
BBG002458LF8,SELG,Селигдар,0d28c01b-f841-4e89-9c92-0ee23d12883a
